site,title,imageUrl,wxGroup
WHIO,Greene County: Current Temperatures,https://mediaweb.whio.com/weather/Greene%20Co%20Temps%20.jpg,days
WHIO,Greene County: County Forecast,https://mediaweb.whio.com/weather/Greene%20Co%20Today.jpg,days
WHIO,Greene County: Live Doppler,https://mediaweb.whio.com/weather/Greene%20County%20Radar.jpg,days
WHIO,Live Doppler 7,https://mediaweb.whio.com/weather/Live%20Doppler%207.jpg,days
WHIO,Logan County: Current Temperatures,https://mediaweb.whio.com/weather/Logan%20Co%20Temps%20.jpg,days
WHIO,Logan County: County Forecast,https://mediaweb.whio.com/weather/Logan%20Co%20Today.jpg,days
WHIO,Logan County: Live Doppler,https://mediaweb.whio.com/weather/Logan%20County%20Radar.png,days
WHIO,Mercer County: Current Temperatures,https://mediaweb.whio.com/weather/Mercer%20Co%20Temps%20.jpg,days
WHIO,Mercer County: County Forecast,https://mediaweb.whio.com/weather/Mercer%20Co%20Today%20.jpg,days
WHIO,Mercer County: Live Doppler,https://mediaweb.whio.com/weather/Mercer%20County%20Radar.jpg,days
WHIO,Miami County: Current Temperatures,https://mediaweb.whio.com/weather/Miami%20Co%20Temps.jpg,days
WHIO,Miami County: County Forecast,https://mediaweb.whio.com/weather/Miami%20Co%20Today.jpg,days
WHIO,Miami County: Live Doppler,https://mediaweb.whio.com/weather/Miami%20County%20Radar.jpg,days
WHIO,Miami Valley Temperatures,https://mediaweb.whio.com/weather/Miami%20Valley%20Temps.jpg,days
WHIO,Miami Vallery Wind Speed & Direction,https://mediaweb.whio.com/weather/Miami%20Valley%20Wind%20Speed.jpg,days
WHIO,Montgomery County: Current Temperatures,https://mediaweb.whio.com/weather/Montgomery%20Co%20Temps%20.jpg,days
WHIO,Montgomery County: County Forecast,https://mediaweb.whio.com/weather/Montgomery%20Co%20Today.jpg,days
WHIO,Montgomery County: Live Doppler,https://mediaweb.whio.com/weather/Montgomery%20County%20Radar.jpg,days
WHIO,National Airport Delays,https://mediaweb.whio.com/weather/National%20Airport%20Delays.jpg,days
WHIO,National Satellite & Radar,https://mediaweb.whio.com/weather/National%20SatRad.jpg,days
WHIO,Preble County: Current Temperatures,https://mediaweb.whio.com/weather/Preble%20Co%20Temps.jpg,days
WHIO,Preble County: County Forecast,https://mediaweb.whio.com/weather/Preble%20Co%20Today.jpg,days
WHIO,Preble County: Live Doppler,https://mediaweb.whio.com/weather/Preble%20County%20Radar.jpg,days
WHIO,Regional Satellite & Radar,https://mediaweb.whio.com/weather/Redional%20SatRad%20.jpg,days
WHIO,Regional Satellite & Radar,https://mediaweb.whio.com/weather/Redional%20SatRad%20.jpg,days
WHIO,Regional Airport Delays,https://mediaweb.whio.com/weather/Regional%20Airport%20Delays.jpg,days
WHIO,Shelby County: Current Temperatures,https://mediaweb.whio.com/weather/Shelby%20Co%20Temps%20.jpg,days
WHIO,Shelby County: County Forecast,https://mediaweb.whio.com/weather/Shelby%20Co%20Today%20.jpg,days
WHIO,Shelby County: Live Doppler,https://mediaweb.whio.com/weather/Shelby%20County%20Radar.jpg,days
WHIO,Warren County: Current Temperatures,https://mediaweb.whio.com/weather/Warren%20Co%20Temps%20.jpg,days
WHIO,Warren County: County Forecast,https://mediaweb.whio.com/weather/Warren%20Co%20Today.jpg,days
WHIO,Warren County: Live Doppler,https://mediaweb.whio.com/weather/Warren%20County%20Radar.jpg,days
WHIO,Wayne County: Current Temperatures,https://mediaweb.whio.com/weather/Wayne%20Co%20Temps.jpg,days
WHIO,Wayne County: County Forecast,https://mediaweb.whio.com/weather/Wayne%20Co%20Today%20.jpg,days
WHIO,Wayne County: Live Doppler,https://mediaweb.whio.com/weather/Wayne%20County%20Radar.jpg,days
,,,
